[INFO ][15:30:25,390][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,427][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,471][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,489][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,515][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,531][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,571][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,596][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,630][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,647][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,675][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,691][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,705][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,723][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,743][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,766][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
